C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Exponents/MultiProgExponents.py
32768
         10800 function calls (10513 primitive calls) in 0.098 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    97/32    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
     57/4    0.000    0.000    0.023    0.006 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      607    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       40    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     40/4    0.000    0.000    0.024    0.006 <frozen importlib._bootstrap>:663(_load_unlocked)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       42    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     42/4    0.000    0.000    0.025    0.006 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     42/4    0.000    0.000    0.025    0.006 <frozen importlib._bootstrap>:978(_find_and_load)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1225(_legacy_get_spec)
       35    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       35    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      115    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
